"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","0.1uF","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",""
"2","C3","1","10uF","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",""
"3","D1","1","BAV99","Package_TO_SOT_SMD:SOT-23",""
"4","D2","1","LED","LED_SMD:LED_0805_2012Metric",""
"5","J1","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"6","JP1","1","Jumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels",""
"7","Q1","1","IRF7319TRPBF","Package_SO:Diodes_PSOP-8",""
"8","R1","1","10k","Resistor_SMD:R_0805_2012Metric",""
"9","R2, R3, R5","3","100k","Resistor_SMD:R_0805_2012Metric",""
"10","R4","1","300k","Resistor_SMD:R_0805_2012Metric",""
